,Tweet ID,Time,User,Tweet
0,1592882513164107777,2022-11-16 14:09:20+00:00,KathyKi34192246,"RT @Iamnaresh16: $LCID with $APPL  !!! https://t.co/6lDaIzMrBs
@2028Lucid @jcurry @JazzyLove_LCID $LCID $APPL https://t.co/RqUHBX4kvp"
1,1592881596683939841,2022-11-16 14:05:41+00:00,appl_lee,"RT @dw_chinese: 钢琴、#iPhone都是为男人量身打造的？
你知道吗，#钢琴键盘 是为男性手掌设计的，Siri更擅长识别男性的声音……生活中许多看似“理所当然”的设计，其实都隐含了性别差异，我们生活在一个便利男性的世界里。女性往往得不到重视，这有时会造成严重后果…"
2,1592881276771766275,2022-11-16 14:04:25+00:00,MaryCherby,"RT @fred_manfrin: Avant le coucher, un moment de poésie pure.
William Butler Yeats pour le texte, Benjamin Britten pour la musique, et la v…"
3,1592880270256275456,2022-11-16 14:00:25+00:00,hdrmywaftkhr1,"RT @mwssh_alkhyryh: السلام عليكم ✋🇸🇦
بعد قليل حواله وارده لحسابك: ****
75000الف ﷼💸 من: مؤسسة الوليد✅
الاول 35000 ﷼💸
الثاني 22000 ﷼💸
الثالث…"
4,1592879716629123075,2022-11-16 13:58:13+00:00,mizy_4v,"@Appl_he 仲良くしましょう(๑&gt;◡&lt;๑)
なんて呼んだらいいですか？"
5,1592878907057111041,2022-11-16 13:55:00+00:00,cbb_titi,"RT @fred_manfrin: Avant le coucher, un moment de poésie pure.
William Butler Yeats pour le texte, Benjamin Britten pour la musique, et la v…"
6,1592878158222876673,2022-11-16 13:52:01+00:00,totodakedone,@appl_apple_ 😇
7,1592877771336056832,2022-11-16 13:50:29+00:00,appl_lee,"RT @rijingzhongwen: 【一中国人在日本涉嫌出售假冒美容液被捕】嫌疑人涉嫌销售仿冒的乐敦Melano CC美容液，警方在其家中发现了约1600支仿制品……
https://t.co/4oOAipUdc6"
8,1592877627794018304,2022-11-16 13:49:55+00:00,SonalJa64568375,"RT @SonalJa64568375: @TransportKE @rtoahmedabad @COTGuj_office @timesofindia 
Appl No.:2695485222
Appl Date:06-07-2022
RTO Name:RTO,AHMEDAB…"
9,1592876692460425216,2022-11-16 13:46:12+00:00,highmix,"RT @highmix: 株式投資ブログ「かぶしきめいかいは」更新！

【保有米国株成績 11/15の成績】

反発
多くが上昇

https://t.co/1ntmxCqMs2

#ブログ更新 #株式投資 #米国株 #nasdaq $ADBE $ETSY $VZ $AMD $…"
