,Tweet ID,Time,User,Tweet
0,1592880440532430859,2022-11-16 14:01:05+00:00,Peticiondemano,@CoinDesk @circle Apple will regret that they collaborate with such scammers like Circle
1,1592880435381800960,2022-11-16 14:01:04+00:00,theobesteman,RT @CoinDesk: JUST IN: The lending arm of @GenesisTrading plans to halt customer withdrawals. The unit discussed the matter with its instit…
2,1592880427030949889,2022-11-16 14:01:02+00:00,webthreechain,"Genesis’ Crypto-Lending Unit Is Halting Customer Withdrawals in Wake of FTX Collapse

https://t.co/4B1Y9cxrea… https://t.co/c15UWG2YYz"
3,1592880412103057408,2022-11-16 14:00:59+00:00,Ellain1919,@CoinDesk @GenesisTrading @SBF_FTX @LisaBraganca @jdorman81 @Oppenheimer The greatest privvate secret of DEFI https://t.co/ZBkgMnysZe
4,1592880410157281285,2022-11-16 14:00:58+00:00,Quackaracha,"RT @Tree_of_Alpha: Genesis’ Crypto-Lending Unit Is Halting Customer Withdrawals in Wake of FTX Collapse - Coindesk

""Importantly, this deci…"
5,1592880405870694404,2022-11-16 14:00:57+00:00,GG9S8ITU3fGId4k,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
6,1592880392855379968,2022-11-16 14:00:54+00:00,PainterBillyZ,"@CoinDesk @Liqquidity “Sorry, I should have done better” -SBF 

#FTX #BlockFi #FINDSAM @BankruptFTXYC https://t.co/AkFaOmdvUB"
7,1592880357585846272,2022-11-16 14:00:46+00:00,OttawaWebPro,"RT @adamscochran: Genesis seems dead in the water. Halting all withdraws per Coindesk.

Big things starting to unwind here.

Holy shit,"
8,1592880346525466624,2022-11-16 14:00:43+00:00,Jephfery,"RT @CoinDesk: Gifting $BTC and other cryptocurrencies may not be a taxable event.

If you’re gifting crypto to someone, keep it below $15,0…"
9,1592880341962063872,2022-11-16 14:00:42+00:00,james_baluyut_c,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
10,1592880288581169154,2022-11-16 14:00:29+00:00,HarrisonMontan3,@CoinDesk @FTX_Official @LexSokolin @kucoincom Those who are saying kucoin is insolvent maybe try to check their wa… https://t.co/s49sVTWWpH
11,1592880286580326400,2022-11-16 14:00:29+00:00,menacoin_,"European Union could ban privacy-enhancing coins such as zcash, and monero under a leaked draft of an anti-money la… https://t.co/sFL6X93oat"
12,1592880268167479298,2022-11-16 14:00:24+00:00,web5crypto,@CoinDesk @Liqquidity 对FTX 技术有兴趣可以关注我
13,1592880253973987328,2022-11-16 14:00:21+00:00,CoinDesk,"“What I find a bit disappointing is that in this day and age, the regulators still do not seem to be able to think… https://t.co/VdtSy7ikd9"
14,1592880251184742400,2022-11-16 14:00:20+00:00,nomansys,"RT @Tree_of_Alpha: Genesis’ Crypto-Lending Unit Is Halting Customer Withdrawals in Wake of FTX Collapse - Coindesk

""Importantly, this deci…"
15,1592880213784158208,2022-11-16 14:00:11+00:00,Leonard68997162,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
16,1592880200639184897,2022-11-16 14:00:08+00:00,vananderkev,RT @JustinCryptoOG: https://t.co/e2HTxabqO7
17,1592880190153232391,2022-11-16 14:00:06+00:00,CoinDesk,"LIVE: @GenesisTrading's crypto lending unit halts withdrawals, a look at the legal ramifications for @SBF_FTX and m… https://t.co/xieNXnKn0W"
18,1592880189763358720,2022-11-16 14:00:06+00:00,bwenews,"[Coindesk重要快讯]
Matter Labs Nets $200M to Build zkSync Ethereum Scaling Platform
译文：Matter Labs 净赚 2 亿美元用于构建 zkSync… https://t.co/nQ6J5907ok"
19,1592880188987437060,2022-11-16 14:00:05+00:00,winsontang,Genesis' Crypto-Lending Unit Is Suspending Withdrawals in Wake of FTX Collapse https://t.co/693Gk9MZdU
20,1592880183601942528,2022-11-16 14:00:04+00:00,MCryptoworld,"@CoinDesk @Liqquidity CoinDesk, are you part of ""normies"" or the crypto world? If the former you can bring some enl… https://t.co/YUyOGOBJ2U"
21,1592880182754701312,2022-11-16 14:00:04+00:00,MountainYoda,RT @gregzaj1: https://t.co/Ftu5d12VHV
22,1592880182104584192,2022-11-16 14:00:04+00:00,Frances_Coppola,"RT @CoinDesk: .@circle CEO @jerallaire has written to Congressional leaders for financial services, calling for workable, clear U.S. legisl…"
23,1592880177976967170,2022-11-16 14:00:03+00:00,BTCticker,One Bitcoin now worth $16506.877. Market Cap $317.080 Billion. Based on #coindesk BPI #bitcoin
24,1592880176719097863,2022-11-16 14:00:03+00:00,HNTweets,Genesis' Crypto-Lending Unit Is Suspending Withdrawals in Wake of FTX Collapse: https://t.co/AeTrtPmlDr Comments: https://t.co/erW74xWn1d
25,1592880169320124417,2022-11-16 14:00:01+00:00,robersv,"👛""Los comerciantes que aceptan pagos en la moneda estable #USDC de @circle ahora pueden interactuar con @Apple Pay""… https://t.co/zxIuTOiSyQ"
26,1592880163792228352,2022-11-16 13:59:59+00:00,ArturKazak,RT @PeterSchiff: Qenta offered to buy my bank. What a huge loss for Puerto Rico that OCIF blocked the sale and forced me to liquidate the b…
27,1592880146973069312,2022-11-16 13:59:55+00:00,mikeshing,Genesis halts withdrawals https://t.co/0v1SpWI918
28,1592880141017182209,2022-11-16 13:59:54+00:00,d57heinz,"RT @alex_valaitis: @GenesisTrading @DCGco @Grayscale Another interesting wrinkle in this development:

The news was first reported by @Coin…"
29,1592880115578712065,2022-11-16 13:59:48+00:00,Adebayo94574298,@CoinDesk How can some start trading
30,1592880107131371526,2022-11-16 13:59:46+00:00,jimmyhomma,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
31,1592880084750589952,2022-11-16 13:59:41+00:00,mywordsmyworld3,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
32,1592880078702411776,2022-11-16 13:59:39+00:00,phaltron,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
33,1592880073086230530,2022-11-16 13:59:38+00:00,Sandrac45192333,RT @Investingcom: *GENESIS’ CRYPTO-LENDING UNIT IS HALTING CUSTOMER WITHDRAWALS IN WAKE OF FTX COLLAPSE - COINDESK https://t.co/irF9ygYpT0
34,1592880057995137024,2022-11-16 13:59:34+00:00,Camila_Rocha,"#Crypto #FTX meltdown: 

-Blockfi is limiting platform activity. 

-Genesis’ Crypto-Lending Unit Is Halting Custome… https://t.co/jU6PcxQOc6"
35,1592880049929474049,2022-11-16 13:59:32+00:00,yasenyankovblc,"RT @Nexo: .@Nexo would like to confirm that we have $0 exposure to Genesis, Gemini, Luno, and BlockFi.
Our hearts go out to those affected.…"
36,1592880035287162883,2022-11-16 13:59:29+00:00,BerkEfeBenli1,"RT @CoinDesk: FTX's collapse is wreaking havoc across the crypto world, as lender BlockFi is reportedly preparing to file for bankruptcy. @…"
37,1592880012814086146,2022-11-16 13:59:23+00:00,LuisMar56615827,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
38,1592879988071870464,2022-11-16 13:59:18+00:00,xmrhero,Unpopular opinion: Coindesk is responsible for the #FTX collapse because if they had not questioned FTX and Alameda… https://t.co/mWtCR9j1Nm
39,1592879948238557187,2022-11-16 13:59:08+00:00,SuburbanBeagle,Props to @CoinDesk. Spreading info on FTX insolvency first days of november. CoinDesk is owned by @DCGco which also… https://t.co/QENqYUcR6d
40,1592879941422833670,2022-11-16 13:59:06+00:00,Clansman_71,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
41,1592879899660152834,2022-11-16 13:58:57+00:00,fredwalton216,"10) Circle CEO reiterates call for workable, clear stablecoins regulations. https://t.co/ZpAUBZ77i8"
42,1592879892948873217,2022-11-16 13:58:55+00:00,joey_mage,RT @DeItaone: GENESIS’ CRYPTO-LENDING UNIT IS HALTING CUSTOMER WITHDRAWALS IN WAKE OF FTX COLLAPSE - COINDESK
43,1592879875488387072,2022-11-16 13:58:51+00:00,indianndon,RT @CoinDesk: JUST IN: The lending arm of @GenesisTrading plans to halt customer withdrawals. The unit discussed the matter with its instit…
44,1592879850511290369,2022-11-16 13:58:45+00:00,WagnerRealiza,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
45,1592879849894744067,2022-11-16 13:58:45+00:00,EviLemur,RT @BTC_Archive: BREAKING: Crypto-lender Genesis has stopped withdrawals - Coindesk
