,Tweet ID,Time,User,Tweet
0,1592883849981149184,2022-11-16 14:14:38+00:00,Gambiste1,"RT @CryptoJelleNL: With $LOW beating their earnings by 5.7% today, this is how my long term portfolio made it through earnings season.

👍🏻…"
1,1592883698395156482,2022-11-16 14:14:02+00:00,DrDividend47,"RT @DrDividend47: Investing Goals For 2023

• Own 100 shares of $SPY
• Own 100 shares of $GOOG
• Own 100 shares of $SBUX
• Sell Delta 0.20…"
2,1592883639939117058,2022-11-16 14:13:48+00:00,Yessah__2,"L'ambassadeur de Pologne ne voit aucune raison d'appliquer l'article 4 du traité de l'Otan
https://t.co/EdrGD70V78"
3,1592883604992184320,2022-11-16 14:13:40+00:00,panchor87819952,"RT @terra_cremada: HIPOCRESÍA CLIMÀTICA 
Tu menjaràs cucs mentre els governants es fotran fins el cul de bistecs.

https://t.co/G4LiKa9BQO…"
4,1592883443947696129,2022-11-16 14:13:02+00:00,JanBorisZoubek,"@bulios_czsk CEZ, KB, ERSTE, NIO, PFE, GOOG, CRWD + nějaké fondy přes Conseq"
5,1592882697747283981,2022-11-16 14:10:04+00:00,markets_mt,#Reuters: Special Report: FTX's Bankman-Fried begged for a rescue even as he revealed huge holes in firm's books… https://t.co/pFloNInSmi
6,1592882657893175297,2022-11-16 14:09:54+00:00,SheldonKooper7,"$AMD $AAPL $SQ $AMZN 
$EA $SEDG $MA $V $KO $PYPL $RCL $GOOG $NKLA $DKNG $HD $ROKU $NFLX $FB  $GLD $VXX $MSFT $SOL… https://t.co/zAhZkMlDcC"
7,1592882559062790146,2022-11-16 14:09:31+00:00,DAG_Investments,1/4 Our equities holdings: $ABNB $AFL $AMZN $BEPC (aka $BEP; via $TERP) $BRK $BX $CGNX $CHPT (via $SBE) $CVS (via… https://t.co/OWSljmwBg4
8,1592882373951377409,2022-11-16 14:08:46+00:00,MaryGat59103352,"$GOOG is set and ready for a run up:~
🔗 https://t.co/P8rmjFP5CU"
9,1592882048540479489,2022-11-16 14:07:29+00:00,Michael78547781,@relationlabs Goog job
10,1592881711335223310,2022-11-16 14:06:08+00:00,__vl1__,"@tailer4440 p goog
you?"
11,1592881586034606082,2022-11-16 14:05:39+00:00,RalphCapocci,"RT @BruleChevalier: Saint Gertrude
 November 16 : Saint Gertrude , Benedictine nun of Eisleben (1256-1302)
https://t.co/YxZroIQcbN https://…"
12,1592881564584648705,2022-11-16 14:05:33+00:00,finbrain_t,"Today's lowest news sentiment stocks under S&amp;P500 🚨

 $XL      -43 %
 $TSLA    -35 %
 $GOOG    -21 %
 $GOOGL   -21… https://t.co/LpmmgycxUy"
13,1592881356396077061,2022-11-16 14:04:44+00:00,sheryl_coyne2,"RT @BruleChevalier: Saint Gertrude
 November 16 : Saint Gertrude , Benedictine nun of Eisleben (1256-1302)
https://t.co/YxZroIQcbN https://…"
14,1592881327644311558,2022-11-16 14:04:37+00:00,Gambiste1,RT @markets_mt: #Wired: Want to Archive Twitter? Good Luck With That $GOOG. Via: https://t.co/204UIcy30O https://t.co/vbpCDaJ4Hp
15,1592881309197946888,2022-11-16 14:04:33+00:00,britishjazzfunk,"RT @rallyfunjp: ラリージャパンは12年振りにカレンダーに復活したが問題が無かったわけではない。via @DirtFishRally 

・ロードセクションに人が多い理由
　チケット価格の高さ。
　家族連れに優しく無かった
・ステージ観客のキャパが
　低く設定され…"
16,1592881062732259329,2022-11-16 14:03:34+00:00,Chat3Free,$TSLA $ARKK $QCOM $AAPL $MSFT $AMD $NVDA $NFLX $QQQ $IWM $GOOG $SNOW $ASAN $APPS $ROKU $BP $OXY $COP $OIH $MOS… https://t.co/t3o1xYF12f
17,1592880975260024833,2022-11-16 14:03:13+00:00,BrixtonDiscGolf,@TheNickandMatt1 @DISCovering_USA Rich Gould(the goog) would be fun as well
18,1592880820083359744,2022-11-16 14:02:36+00:00,preciousp_0409,"RT @salaco6: おはようｺﾞｻｲﾏｽ·͜·♡

11月15日
『#きものの日👘 』

今日はこちらを…おいてみます
(っ'-')╮=͟͟͞👘𓂃◌𓈒𓐍

着物がよく似合う〜♥️
➳ (⸝⸝⸝°◽︎°⸝⸝⸝=͟͟͞͞)♥️

Have a goog day ❤︎

＃山下…"
19,1592880814232317954,2022-11-16 14:02:35+00:00,momotar37156452,"COVID-19では、空気が問題であり解決策でもあります
SARS-CoV-2は空中にとどまる可能性があります。それに対処するのは比較的簡単ですが、最初に問題があることを認めなければなりません… https://t.co/OQY4SkTpD7"
20,1592880735563976710,2022-11-16 14:02:16+00:00,Babcosta4,goog Check out this real estate cryptocurrency: https://t.co/2O1RGW5W4W. You can download the app and start earning… https://t.co/aJhxZR0eCt
21,1592880674255798277,2022-11-16 14:02:01+00:00,existentialcyka,"RT @ArmedMaidan: Inside Kherson ""Yellow Ribbon"" resistance movement: how residents risked their lives to prepare the city for liberation

h…"
22,1592880485935742981,2022-11-16 14:01:16+00:00,milcotto,"RIA - 16:16
https://t.co/IOGrFJkFFy https://t.co/ykdKw042nC"
23,1592880366192558080,2022-11-16 14:00:48+00:00,BruleChevalier,"Saint Gertrude
 November 16 : Saint Gertrude , Benedictine nun of Eisleben (1256-1302)
https://t.co/YxZroIQcbN https://t.co/CBCDgWAOvI"
24,1592880178463752197,2022-11-16 14:00:03+00:00,markets_mt,"#CNBC: Goldman Sachs paid $12 million to female partner to settle sexism complaint, Bloomberg reports $GOOG. Via:… https://t.co/q38rJKrhGc"
25,1592880121828237312,2022-11-16 13:59:49+00:00,KING_GOOG,Produced by @Sage33rd https://t.co/a5aSyNI9zF
26,1592880093785120769,2022-11-16 13:59:43+00:00,photokazuki,"RT @rallyfunjp: ラリージャパンは12年振りにカレンダーに復活したが問題が無かったわけではない。via @DirtFishRally 

・ロードセクションに人が多い理由
　チケット価格の高さ。
　家族連れに優しく無かった
・ステージ観客のキャパが
　低く設定され…"
27,1592880007386660864,2022-11-16 13:59:22+00:00,sarasasa86,"Russian missiles in #Poland were only a matter of time 

ポーランドのロシアのミサイルは時間の問題でした 
https://t.co/GGvWM68tsU… https://t.co/807tUxLHGy"
28,1592879853652803585,2022-11-16 13:58:46+00:00,KING_GOOG,"The GODZ @NoEmotion954 

https://t.co/BCtKfDNZkZ"
