,Tweet ID,Time,User,Tweet
0,1592887679473311744,2022-11-16 14:29:51+00:00,SamkeloJ_Tom,RT @Zide_Bukiwe: Not me getting an invite to attend the Black Coffee Foundation Food Bank Launch in Mthatha. Yhoo! 🥺🥺👏🏽
1,1592887634594254850,2022-11-16 14:29:41+00:00,KhoPrimo,"#NewsUpdate

$TYDE ~ Revenue: US$4.70m (up 135% from 3Q 2021).

https://t.co/peI2bF6UTX

@jctb1 #StocksInFocus… https://t.co/UxLs2vWrZ0"
2,1592887582467178498,2022-11-16 14:29:28+00:00,yahoolife,"Congratulations are in order for Taylor Lautner and his now-wife, Taylor “Tay” Dome! 💍https://t.co/CmzoWCqRDL"
3,1592887527958274050,2022-11-16 14:29:15+00:00,TOKATYusufEnes,"RT @yfinanceplus: What's trending this morning? Here are the top 5 stocks on @YahooFinance before the 🔔

$TGT: -15.53%
$LOW: +1.30%
$CCL: -…"
4,1592887463176830976,2022-11-16 14:29:00+00:00,YahooEntsUK,"Princess Diaries sequel is in the works at Disney – but will Anne Hathaway return?

https://t.co/ISN35V0hWc"
5,1592887438112067590,2022-11-16 14:28:54+00:00,MmatshekoMosito,"RT @Wowo46478959: @MmatshekoMosito @Radio2000_ZA I was listening Sisters,Yhoo what a good music 👌🏽👌🏽👌🏽"
6,1592887322160246784,2022-11-16 14:28:26+00:00,TOKATYusufEnes,RT @yfinanceplus: $TGT shares took a hit in pre-market (-15%) after reporting missing Q3 earnings expectations. The retailer also announced…
7,1592887248013623298,2022-11-16 14:28:08+00:00,LYDIA87718779,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
8,1592887195412881415,2022-11-16 14:27:56+00:00,massive_ranger,@VanLetz @KeletsoMss @AdultComics2 @Beautifulshaz @BestPornAction @carrotstwotwo2 @juicymzansi @mzansixxxxx @Max83917366 Yhoo@ umpetha👌🏿🤣
9,1592887020623233025,2022-11-16 14:27:14+00:00,Tian_A1,"Cholesterol Tests Market by 2028 Demand, Trends, Opportunities, Challenges, Competitive Situation Regional Analysis… https://t.co/xebUCOjiDO"
10,1592886878763888644,2022-11-16 14:26:40+00:00,zhivanovna,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
11,1592886834916651008,2022-11-16 14:26:30+00:00,zolani_zibba,"@tshidi_lee Yhoo Tshidi, Omnipresent one... 😂😂😂😂"
12,1592886202562412546,2022-11-16 14:23:59+00:00,Sathis17971983,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
13,1592886131410206720,2022-11-16 14:23:42+00:00,thoroughgood_j,"RT @YahooFinance: U.S. retail sales surge past expectations in October as consumers remain resilient.

The Commerce Department said on Wedn…"
14,1592886013122457602,2022-11-16 14:23:14+00:00,ARKADIUSZMAT,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
15,1592885979542847488,2022-11-16 14:23:06+00:00,CaptainPennys,"#PressRelease

-&gt; $AJN 
-&gt; State Endorses New Licence Applications by Congo Ressources SAU According to the MOU Sig… https://t.co/GcYEgbVePz"
16,1592885970990673921,2022-11-16 14:23:04+00:00,EntrepreneurEii,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
17,1592885860374306818,2022-11-16 14:22:38+00:00,YahooFinance,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
18,1592885807177957377,2022-11-16 14:22:25+00:00,tooozie,"RT @YahooFinance: U.S. retail sales surge past expectations in October as consumers remain resilient.

The Commerce Department said on Wedn…"
19,1592885657332244480,2022-11-16 14:21:49+00:00,Me4oPresident,@the_lionbeast10 Yhoo!!
20,1592885584917594114,2022-11-16 14:21:32+00:00,YahooNews,"Many Republicans are pointing fingers at the former president to explain why the “red wave” failed to materialize,… https://t.co/M6wzpYL6IS"
21,1592885469414817795,2022-11-16 14:21:04+00:00,EntrepreneurEii,"RT @yfinanceplus: What's trending this morning? Here are the top 5 stocks on @YahooFinance before the 🔔

$TGT: -15.53%
$LOW: +1.30%
$CCL: -…"
22,1592885307502125056,2022-11-16 14:20:26+00:00,Deadpoolinferno,"RT @YahooFinance: U.S. retail sales surge past expectations in October as consumers remain resilient.

The Commerce Department said on Wedn…"
23,1592885286094405632,2022-11-16 14:20:21+00:00,Jenniferisms,RT @YahooFinance: Sen. Lummis: FTX has 'Ponzi scheme-like behavior' https://t.co/TRIzrZ6zb2 by @Jenniferisms https://t.co/PogJgpzKLQ
24,1592885255891222530,2022-11-16 14:20:14+00:00,Jojino6,"RT @MahlodiJR: #SenzoMeyiwatrial
This trial is really exhausting shem. They start late, long adjournments, they come back late. Media house…"
25,1592885249922412544,2022-11-16 14:20:12+00:00,SiyavuyaVukani,"@NdumisoGwala4 @venda_guy2 @Betway_za Chief I share your sentiment, yey that thing is cruel yhoo"
26,1592885215227416576,2022-11-16 14:20:04+00:00,YahooFinance,"U.S. retail sales surge past expectations in October as consumers remain resilient.

The Commerce Department said o… https://t.co/MweeaBx9MB"
27,1592884804999348224,2022-11-16 14:18:26+00:00,Pratte_Finance,RT @YahooFinance: U.S. stock futures slumped this morning as Wall Street weighed an earnings warning from retail bellwether Target against…
28,1592884737101553664,2022-11-16 14:18:10+00:00,ThierryPette,"RT @Yahoo: The Senate is poised to pass landmark legislation to federally enshrine both same-sex and interracial marriage rights, amid what…"
29,1592884694890283011,2022-11-16 14:18:00+00:00,YahooEntsUK,"Denise Richards calls out ‘asshole’ for saying they ‘hoped’ gunshot ‘grazed her neck’

https://t.co/5m954Zaahe"
30,1592884686891941889,2022-11-16 14:17:58+00:00,Nonki_M,RT @Karabo_tjale: South Aah people are full of hate yhoo
31,1592884613885874176,2022-11-16 14:17:40+00:00,RonelVilla3,"#PressRelease

@OriginClear Third Quarter Revenue Tripled Over Last Year

🔥🔥 $OCLN 🔥🔥

https://t.co/lC4gydJJnq… https://t.co/29Lc8Gqwbo"
32,1592884313842135042,2022-11-16 14:16:29+00:00,JohnNosta,"RT @nanox_vision: We are happy to announce the issuance of #AMA new category III CPT®️ Code for our #coronary artery calcium solution.
To r…"
33,1592884256480841732,2022-11-16 14:16:15+00:00,Deadpoolinferno,"RT @yfinanceplus: What's trending this morning? Here are the top 5 stocks on @YahooFinance before the 🔔

$TGT: -15.53%
$LOW: +1.30%
$CCL: -…"
34,1592884140692865025,2022-11-16 14:15:48+00:00,YahooFinance,"RT @yfinanceplus: What's trending this morning? Here are the top 5 stocks on @YahooFinance before the 🔔

$TGT: -15.53%
$LOW: +1.30%
$CCL: -…"
35,1592884111513112579,2022-11-16 14:15:41+00:00,yfinanceplus,"What's trending this morning? Here are the top 5 stocks on @YahooFinance before the 🔔

$TGT: -15.53%
$LOW: +1.30%… https://t.co/D7lKbcKPw7"
36,1592883985147121664,2022-11-16 14:15:11+00:00,LarryMichael333,RT @YahooNews: Anne Heche's estate is being sued for $2 million by the woman who was in the house Heche crashed into during the accident th…
37,1592883921057783808,2022-11-16 14:14:55+00:00,Zipho_10,Yhoo thiza...funeka ndyothenga e PnP nam!! 👀 https://t.co/TkAd9WTZT7
38,1592883872894963713,2022-11-16 14:14:44+00:00,Gambiste1,"RT @CaptainPennys: $IGPK ~ currently producing about $1.2 million in annual revenues.

https://t.co/stTuq8jf9a

@jctb1 #Cannabis #StockTrad…"
39,1592883866242805762,2022-11-16 14:14:42+00:00,Kegomod03061209,@Mr_Turneson Yhoo o maswe tota🤣🤣🤣🤣🤣 https://t.co/yfC6OpCVma
40,1592883797820727296,2022-11-16 14:14:26+00:00,Wowo46478959,"@MmatshekoMosito @Radio2000_ZA I was listening Sisters,Yhoo what a good music 👌🏽👌🏽👌🏽"
41,1592883785535627264,2022-11-16 14:14:23+00:00,i_MukulGarg,"RT @AventisMeta: 📢#Aventis is entering a Tripartite Partnership with @TheSandboxGame &amp; @smoblerstudios!🤝

Under #MetaverseForGood initiativ…"
42,1592883720281010176,2022-11-16 14:14:07+00:00,OslinaM,@blackchik__kb Yhoo re rata dilo watseba
43,1592883704958885889,2022-11-16 14:14:04+00:00,YahooEnt,"The trials of ""That ’70s Show"" actor Danny Masterson and ""Crash"" director Paul Haggis on either coast have thrust S… https://t.co/iFeE8uSnZ0"
44,1592883461710557187,2022-11-16 14:13:06+00:00,CarrieJames8,RT @YahooNews: “Ukraine’s defense was launching their missiles in various directions and it is highly probable that one of these missiles u…
45,1592883429288587264,2022-11-16 14:12:58+00:00,Jenn3Chi,RT @YahooFinance: U.S. stock futures slumped this morning as Wall Street weighed an earnings warning from retail bellwether Target against…
46,1592883246144327680,2022-11-16 14:12:14+00:00,stefanboom73,RT @yfinanceplus: $TGT shares took a hit in pre-market (-15%) after reporting missing Q3 earnings expectations. The retailer also announced…
47,1592883127063826433,2022-11-16 14:11:46+00:00,ARKADIUSZMAT,RT @YahooFinance: U.S. stock futures slumped this morning as Wall Street weighed an earnings warning from retail bellwether Target against…
48,1592883043215474689,2022-11-16 14:11:26+00:00,harmma10,RT @YahooFinance: U.S. stock futures slumped this morning as Wall Street weighed an earnings warning from retail bellwether Target against…
49,1592883019731566594,2022-11-16 14:11:20+00:00,phoenix078,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
50,1592882985480912897,2022-11-16 14:11:12+00:00,YahooFinance,U.S. stock futures slumped this morning as Wall Street weighed an earnings warning from retail bellwether Target ag… https://t.co/PTEfbMscSU
51,1592882839426830336,2022-11-16 14:10:37+00:00,InvestorsHighA,"RT @PennyDetective: News Alert: (Nasdaq: BCTX) FDA fast Track Status and More Highlighted in New Interview

BriaCell CEO Discusses Positive…"
52,1592882572660736001,2022-11-16 14:09:34+00:00,NorStringer,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
53,1592882328325750784,2022-11-16 14:08:36+00:00,googignew,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
54,1592882204958683137,2022-11-16 14:08:06+00:00,EntrepreneurEii,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
55,1592882004735184902,2022-11-16 14:07:18+00:00,DevilDoggg,RT @YahooFinance: Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
56,1592881887462428674,2022-11-16 14:06:50+00:00,YahooFinance,Genesis Trading suspends redemptions and new loans in wake of FTX https://t.co/HkG7QaIqSh by @DsHollers
57,1592881879862378496,2022-11-16 14:06:49+00:00,MotswanaThoo,So Paxton stole Mosebjadi'story? Yhoo #SkeemSaam
58,1592881369478488065,2022-11-16 14:04:47+00:00,FezzJunior,@dyosi_sibusiso For the look. i grand 👌🏾..... Yhoo Sbu le combo 😬
59,1592881333415464960,2022-11-16 14:04:38+00:00,CTMS_,"What are trigger rates, and how will they affect your mortgage?

 https://t.co/9Vnmyf3jYq 

We offer mortgage servi… https://t.co/rGwS6aZ8SD"
60,1592881291170836480,2022-11-16 14:04:28+00:00,plee_njomane,@AdolphMokhala @lindo_ntusi Kunzima kwa Tourism Management yhoo 💔💔
61,1592881234853576706,2022-11-16 14:04:15+00:00,damienmulley,"RT @Yahoo: The Senate is poised to pass landmark legislation to federally enshrine both same-sex and interracial marriage rights, amid what…"
62,1592881120009650176,2022-11-16 14:03:47+00:00,yhoo_guy,Your spiritual side is in the spotlight! As sensual Venus shim... More for Capricorn https://t.co/sNpit9Z8ha
63,1592881081434656774,2022-11-16 14:03:38+00:00,RealFinance4U,"Have you applied for student loan forgiveness yet? If not, here’s how you can prepare for the process and check you… https://t.co/ynVtdxEJSd"
64,1592881060429582336,2022-11-16 14:03:33+00:00,Omi_082,"RT @YahooNews: Poland said the missile that landed in a village near the Ukrainian border, leaving two people dead, was “very likely” cause…"
65,1592880892586110976,2022-11-16 14:02:53+00:00,FrancisoJH,RT @YahooFinance: Target: 'Organized retail crime' drove astounding $400 million loss in profits this year https://t.co/rYPuV3q6Oi by @Bria…
